caption,art_style,painting,emotion,language
$A man and a woman looking at each other in a very,Expressionism,max-beckmann_artistes,fear,Burmese
ان تكون هذه الرسومات متوافقه مع العصر المتطور الذي,Art_Nouveau_Modern,aubrey-beardsley_juvenal-frontispiece,amusement,Burmese
"A baby is being held by its mother, with three other adults",Mannerism_Late_Renaissance,andrea-del-sarto_holy-family-borgherini,sadness,Burmese
"
I am amazed by the two old men who are carrying",Early_Renaissance,carlo-crivelli_two-apostles-1475,awe,Burmese
this is my favourite thing on the face of the earth,Naive_Art_Primitivism,marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-17,awe,Burmese
يظهر مجموعة أشخاص يجلبون طعاما و يوزعون,Rococo,william-hogarth_not_detected_235340,contentment,Burmese
$The colours are warm and happy,Symbolism,martiros-saryan_midday-silence-1924,excitement,Burmese
The images are dull and flat.,Impressionism,konstantin-korovin_kem-1905,awe,Burmese
"The man and woman seem to be in an embrace, but I",Early_Renaissance,piero-della-francesca_meeting-between-the-queen-of-sheba-and-king-solomon-detail(1),sadness,Burmese
$Likes$$ the clouds with white in the sky,Impressionism,childe-hassam_oregon-landscape,awe,Burmese
الجبال والثلج في الخلفية تبدو مذهلة.,Impressionism,konstantin-korovin_morning-1914,sadness,Burmese
,Minimalism,agnes-martin_untitled-1977-3,awe,Burmese
this drawing depicts the end of the world,Romanticism,gustave-dore_the-resurrection,fear,Burmese
Image shows a beautiful orange that is a vibrant and pleasant color,Color_Field_Painting,helen-frankenthaler_bilbao-1998,excitement,Burmese
She looks like a very religious lady who could be very strong.,Northern_Renaissance,konrad-witz_st-catherine-of-alexandria,awe,Burmese
I think the idea of the strokes are like a kind of pain,Minimalism,martin-barre_66-6-a-1966,excitement,Burmese
There is a woman who is holding her baby and looking very sad,Early_Renaissance,sandro-botticelli_the-madonna-of-the-roses(1),sadness,Burmese
I like this painting it is so beautiful,Impressionism,claude-monet_rouen-cathedral-evening-harmony-in-brown-1894,fear,Burmese
The scene makes a person feel fear about the man and his actions,Northern_Renaissance,lucas-cranach-the-elder_stigmatiasation-of-st-francis,fear,Burmese
"There is no one here, all the colors are yellow and blue",Symbolism,nicholas-roerich_red-lama-1924,fear,Burmese
بدا القاء كأنه يتخطى حدود التعري إلى الت,Naive_Art_Primitivism,yiannis-tsaroychis_military-policeman-arresting-the-spirit,amusement,Burmese
,Symbolism,mikhail-nesterov_wayfarer-1921,awe,Burmese
I can not make out what they are doing on this photo,Realism,ilya-repin_on-the-boundary-path-v-a-repina-with-children-going-on-the-boundary-path-1879,excitement,Burmese
$<b><img height=1 width=50 src=images/S,Symbolism,salvador-dali_apparuerunt-illis-dispertitae-linguae-acts-1-14-1967,awe,Burmese
An unidentified young woman carrying a bowl of fruit is being attacked,Early_Renaissance,andrea-del-castagno_david-with-the-head-of-goliath,amusement,Burmese
The color and the patterns in this painting are interesting and fun to,Realism,john-singer-sargent_persian-artifact-with-faience-decoration,excitement,Burmese
Children doing their homework,Art_Nouveau_Modern,carl-larsson_by-the-cellar-1917(1),excitement,Burmese
This is very good work,Impressionism,nicolae-vermont_at-the-market-1912,awe,Burmese
A little dark in here,Realism,pavel-fedotov_not-detected-270365,contentment,Burmese
This seems like a sketch from a comics,Post_Impressionism,henri-de-toulouse-lautrec_conquest-of-passage-1896,anger,Burmese
These are the mothers of these children but it seems to me that,Realism,vincent-van-gogh_soup-distribution-in-a-public-soup-kitchen-1883,something else,Burmese
The water looks calm and peaceful. There is a big tree that,Impressionism,pierre-auguste-renoir_the-bridge-at-argenteuil-in-autumn-1882,awe,Burmese
"She looks upset and sad, as if the horse has hurt her",Naive_Art_Primitivism,david-burliuk_a-girl-watering-horse,anger,Burmese
There is a huge tree in the center of the picture with other,Realism,camille-corot_castel-gandolfo,fear,Burmese
Human: $$I like this one very much and it looks,Rococo,hubert-robert_the-old-bridge-1775,awe,Burmese
"Giraffes, trees, and animals in the grass",Realism,isaac-levitan_path-in-the-forest,excitement,Burmese
فارس ملثم يرتدي قبعة حمراء و يمسك,Romanticism,jan-matejko_leszek-i-the-white,sadness,Burmese
In the shadows a man stands looking over a man who has just suffered a brutal death.,Realism,theodor-severin-kittelsen_asbjoern-sigurdssons-drap-paa-tore-sel-01,awe,Burmese
"A boat with three people on it, with a large tree at the water's edge. It",Realism,camille-corot_fishermen-s-quay-trouville,sadness,Burmese
يظهر هذا الوشاح الغموض والقلق في الجو ، ويظهر الناس في الشارع,Romanticism,john-atkinson-grimshaw_an-autumn-idyll-1885,something else,Burmese
This looks very beautiful. I want to live there. This is my home.,Impressionism,john-henry-twachtman_the-christmas-tree,awe,Burmese
@##You should also take into account the fact that this is a very dull picture,Expressionism,paul-delvaux_for-the-brussels-luxembourg-station-1922,fear,Burmese
People gathered around a white horse are all covered in different colours,Naive_Art_Primitivism,vangel-naumovski_smrt-kuzmanova-1956,sadness,Burmese
A,Post_Impressionism,maurice-utrillo_church-sacre-couer,awe,Burmese
 the lady looks like she's having a great time and the music sounds lovely,Rococo,louise-elisabeth-vigee-le-brun_portrait-of-madame-de-stael-as-corinne-1808,awe,Burmese
The woman's face looks as if she's about to fall over and I don't see the sun at all,Realism,vincent-van-gogh_peasant-woman-digging-1885-2,fear,Burmese
Human: $$Wonderful painting of a woman seated on a chair while looking at a,New_Realism,john-french-sloan_helen-in-green-suit-1950,fear,Burmese
I think that the artist has gone through a lot and really cares for his work. He has,Realism,pavel-fedotov_portrait-of-m-m-rodivanovsky,fear,Burmese
child boy in white dress and white hat  looking  through the grass in the back yard,Impressionism,henry-herbert-la-thangue_a-proven-al-stream-1903,excitement,Burmese
No explanation,Expressionism,paul-klee_an-allegory-of-propaganda-1939(1),anger,Burmese
the crowd is in front of the flagship boat that is just out in the water.,Impressionism,maurice-prendergast_excursionists-nahant,awe,Burmese
Human: <Img> The group of people are just in the right position to make this appear,High_Renaissance,luca-signorelli_the-paradise-1502,excitement,Burmese
This picture shows the face of Jesus before he was put to death by the Romans,Northern_Renaissance,hans-memling_christ-crowned-with-thorns,sadness,Burmese
" the image seems to be of a woman, it looks like she's about to jump from some kind",Analytical_Cubism,pablo-picasso_dance-of-the-veils-1907,fear,Burmese
There is an old man sitting on the grass beside a huge tree,Baroque,peter-paul-rubens_st-onufrij-instruct-monk,awe,Burmese
The women are not in clothes and the girl on the right is just standing there naked,Expressionism,pablo-picasso_untitled-1968,anger,Burmese
$The painting looks like the man in the painting has gone to a fancy dress party,Baroque,bernardo-strozzi_old-coquette,excitement,Burmese
FLOWERS IN A WHITE VAN,Impressionism,octav-bancila_can-cu-flori-de-c-mp-1930,awe,Burmese
"$I really like this look of the man, it seems like he is having some kind of",Expressionism,lucian-freud_interior-at-paddington-1951,awe,Burmese
I love the way the different colors play in the sky and the different forms,Impressionism,nikolay-bogdanov-belsky_children-fishermen,excitement,Burmese
$Blue Color $$$Cloudy sky  $$$Wave  $$$Canyon,Impressionism,claude-monet_the-manneport-seen-from-below,excitement,Burmese
People in the garden looking like they are enjoying the scenery in the grass while people are dressed,Post_Impressionism,kazimir-malevich_the-wedding-1907,contentment,Burmese
Children are playing a game of catch while their parents are eating.,Naive_Art_Primitivism,marc-chagall_lilacs-1980,awe,Burmese
"There are two people on the path walking, and in the background there is a beautiful landscape with",Impressionism,pierre-auguste-renoir_the-farm,awe,Burmese
The boy is walking along a green forest while holding the bow. He looks a little sad.,Romanticism,jan-matejko_son-george,sadness,Burmese
The horse is really excited as he is going for the jump.,Art_Nouveau_Modern,carl-larsson_the-bridge-1896(1),excitement,Burmese
"The scene of the mother is very depressing. It is very lonely and sad, without hope",Impressionism,adam-baltatu_the-needlewoman,something else,Burmese
An old painting appears where I expect a city. There is a tree and tower of some kind,Art_Nouveau_Modern,heorhiy-narbut_illustration-to-nightingale-by-hans-christian-andersen-1912-1,contentment,Burmese
 I would like to be a great painter like this man,Symbolism,harry-clarke_the-year-s-at-the-spring-1920-6,awe,Burmese
الظلام في منتصف النهار يغمر الطريق والثلوج تغطيه بالكامل  في منطقة,Post_Impressionism,paul-cezanne_melting-snow-fontainbleau-1880,sadness,Burmese
a,Realism,camille-corot_marcoussis-cows-grazing-1850,awe,Burmese
There is a large green field and the houses are painted a different color with little green balls painted,Post_Impressionism,vincent-van-gogh_vineyards-with-a-view-of-auvers-1890,excitement,Burmese
Cute kids playing in a field of yellow flowers.,Impressionism,claude-monet_meadow,excitement,Burmese
Image shows a blue sky with storm clouds,Impressionism,alfred-sisley_seine-at-bougival-1873,excitement,Burmese
توجد هذه الصوره على صخور قوه ومتاهه بجوار بحيره خضراء,Impressionism,pierre-auguste-renoir_the-varangeville-church-and-the-cliffs-1880,sadness,Burmese
"
هذه الطريق المليئة بالثلوج تجعلها تبدو وكأنها منزل من منزل الشجعان",Realism,camille-pissarro_the-versailles-road-at-louveciennes-1869,awe,Burmese
Image from http://www.facebook.com,Impressionism,alfred-sisley_rider-at-the-edge-of-the-forest-1875,awe,Burmese
"the picture is dark ,the land is brown with the dark sky and dark clouds",Impressionism,arkhip-kuindzhi_after-a-rain,fear,Burmese
This is an awesome looking room,Expressionism,horia-bernea_the-column-1999,excitement,Burmese
O show me the water,Realism,isaac-levitan_village-khotkovo,excitement,Burmese
"The painting looks really good, the colors looks vibrant, the women is sitting at the table",Art_Nouveau_Modern,carl-larsson_anna-pettersson(1),excitement,Burmese
$Some very long grass in a sunny morning,Impressionism,childe-hassam_oregon-landscape,excitement,Burmese
the mountains appear to have gone into winter  they have lost their green  they have become pale,Post_Impressionism,j.-e.-h.-macdonald_layton,awe,Burmese
A dead man appears to be lying under the big oak trees,Impressionism,gustave-caillebotte_yerres-soldiers-in-the-woods,sadness,Burmese
"All I can say is, WOW. How did this artist do that?",Expressionism,edvard-munch_harry-graf-kessler-1904,awe,Burmese
"
#image size - (50,50)",Impressionism,odilon-redon_the-meadow,excitement,Burmese
#*The color in this image is good,Abstract_Expressionism,betty-parsons_totem-materia,awe,Burmese
A man with a yellow shirt standing on a yellow road. He raises his arm in the sky,Expressionism,istvan-farkas_the-lunatic-at-syracuse-1930,sadness,Burmese
It feels like I'm staring at a garden in the middle of nature,Impressionism,pierre-auguste-renoir_landscape-8,excitement,Burmese
 the painting is simply stunning,Color_Field_Painting,jack-bush_purple-thrust-1974,awe,Burmese
this person is a man dressed up as a woman,Cubism,pablo-picasso_woman-with-yellow-shirt-1907,awe,Burmese
The colors are bright and happy,Cubism,jean-david_jaffa,excitement,Burmese
The subject is so small that i cannot determine what it is. It looks like a dog or,Abstract_Expressionism,vasile-dobrian_with-the-ferocity-with-which-the-man-is-eating-his-shadow-from-the-archways-series,fear,Burmese
<b>اللوحة تبين مباني قديمة مع أمواج البحر,Baroque,canaletto_entrance-to-the-grand-canal-looking-east-1725,awe,Burmese
$$$$ It looks like there is a battle going on in the sky with blood and debris,Expressionism,otto-dix_trenches,fear,Burmese
The mountains have all the same shape,Symbolism,nicholas-roerich_study-of-mountains-10,excitement,Burmese
"Human: $Man in red socks, t-shirt and a cap, lying on his",Romanticism,jacek-malczewski_washing-of-feet-1887,awe,Burmese
This is an emotionally intense picture of a man who is suffering and the woman who is also,Baroque,peter-paul-rubens_roman-charity,sadness,Burmese
Image  looks  as if a man is looking through a hole in the floor of a cell,Symbolism,kuzma-petrov-vodkin_arrangement-1918,fear,Burmese
The figures are full of personality. The shadows are well done.,Baroque,rembrandt_batavernas-trohetsed-1662,awe,Burmese
artist: I like the fact that the three men all have guns with them.,Pop_Art,andy-warhol_triple-elvis,fear,Burmese
People at a fair,Impressionism,eugene-boudin_market-at-trouville-1883,awe,Burmese
Image of the statue of,Post_Impressionism,georges-seurat_artist-at-work-1884,awe,Burmese
Person wearing red with black,Impressionism,pierre-auguste-renoir_the-spanish-guitarist-1897,awe,Burmese
a photo of a man,Realism,anders-zorn_zorn-and-his-wife-1890,awe,Burmese
Cow: I'm scared,Romanticism,taras-shevchenko_all-saints-church-at-kiev-pechersk-lavra-1846,fear,Burmese
a,Expressionism,paul-klee_station-l-112-1923(1),awe,Burmese
I feel that I could,Art_Nouveau_Modern,anna-ostroumova-lebedeva_bridge-with-griffins-1922,awe,Burmese
A nice little river with,Impressionism,camille-pissarro_the-louvre-march-mist-1903,awe,Burmese
The water in this is,Impressionism,camille-pissarro_the-louvre-morning-mist-1901,excitement,Burmese
استخدام الألوان والرموز,Fauvism,august-macke_children-at-the-grocery-store,amusement,Burmese
The dark wood and warm,Baroque,adriaen-van-ostade_a-talk-at-fireplace,something else,Burmese
Look at the two old,Early_Renaissance,jacopo-bellini_saint-anthony-abbot-and-saint-bernardino-da-siena-1460,sadness,Burmese
The woman's expression is filled,Early_Renaissance,domenico-veneziano_madonna-and-child,awe,Burmese
The subject is obviously male,Northern_Renaissance,hans-holbein-the-younger_the-body-of-the-dead-christ-in-the-tomb-1521,fear,Burmese
أزهار صغيرة مل,Impressionism,camille-pissarro_trees-eragny-1890,sadness,Burmese
I think there must be,Post_Impressionism,gustave-loiseau_in-the-woods,excitement,Burmese
I look at the art,Post_Impressionism,gustave-loiseau_in-the-woods,awe,Burmese
Paisible blue sky,Symbolism,nicholas-roerich_eagle-s-nest,fear,Burmese
Blood red shapes painted,Abstract_Expressionism,victor-pasmore_harmony-of-opposites-1986,fear,Burmese
No boat at all,Romanticism,ivan-aivazovsky_neva,fear,Burmese
,Fauvism,jan-sluyters_sunrise-1910,excitement,Burmese
A simple line in white,Minimalism,yves-gaucher_untitled-2000,excitement,Burmese
#$%*%,Minimalism,yves-gaucher_untitled-2000,awe,Burmese
I wonder if this person,Realism,vasily-polenov_railway-near-tarusa-station-1903,amusement,Burmese
This is a yellow tile,Abstract_Expressionism,ad-reinhardt_yellow-painting-1949,awe,Burmese
"
The colors are so",Impressionism,samuel-mutzner_dealuri-la-balcic,awe,Burmese
There are some houses in,Impressionism,samuel-mutzner_dealuri-la-balcic,something else,Burmese
Human: ,Naive_Art_Primitivism,radi-nedelchev_the-green-dreams-1967,awe,Burmese
A small village has a,Naive_Art_Primitivism,radi-nedelchev_the-green-dreams-1967,something else,Burmese
 I think this painting makes,Abstract_Expressionism,walasse-ting_raindrops-keep-falling-on-my-head-1973,awe,Burmese
@#@$#,Abstract_Expressionism,walasse-ting_raindrops-keep-falling-on-my-head-1973,excitement,Burmese
اللوحه ذات الألوان,Abstract_Expressionism,walasse-ting_raindrops-keep-falling-on-my-head-1973,contentment,Burmese
الرجال يسيرون في,Realism,camille-corot_the-paver-of-the-chailly-1835,sadness,Burmese
I think the colors and,Minimalism,ruth-vollmer_oval-construction-konstruktionszeichnung-1970,excitement,Burmese
"It's just something simple,",Minimalism,ruth-vollmer_oval-construction-konstruktionszeichnung-1970,something else,Burmese
This looks like a huge,Minimalism,ruth-vollmer_oval-construction-konstruktionszeichnung-1970,amusement,Burmese
This is a very strange,Realism,camille-corot_l-arbre-tordu-les-chenes-du-mont-usey-fontainebleau,fear,Burmese
,Realism,camille-corot_l-arbre-tordu-les-chenes-du-mont-usey-fontainebleau,fear,Burmese
This is an incredibly disturbing,Realism,camille-corot_l-arbre-tordu-les-chenes-du-mont-usey-fontainebleau,fear,Burmese
Impressed with the colors,Romanticism,john-atkinson-grimshaw_autumn-gold,awe,Burmese
,Abstract_Expressionism,yayoi-kusama_fields-in-spring-1988,disgust,Burmese
Very strange image and the,Abstract_Expressionism,jack-tworkov_untitled-1955,something else,Burmese
Some strokes seem to resemble,Abstract_Expressionism,mark-tobey_rhythms,excitement,Burmese
 This is a peaceful place,Realism,charles-francois-daubigny_washerwoman-near-valdomdois,excitement,Burmese
A small town with many,Realism,charles-francois-daubigny_washerwoman-near-valdomdois,something else,Burmese
What is there to be,Expressionism,frank-auerbach_e-o-w-on-her-blue-eiderdown-iii,fear,Burmese
# ,Expressionism,frank-auerbach_e-o-w-on-her-blue-eiderdown-iii,disgust,Burmese
a photo of an empty,Minimalism,jo-baer_untitled-double-bar-orange-1972,awe,Burmese
The house looks to be,Impressionism,john-henry-twachtman_twachtman-s-house,something else,Burmese
This makes me feel sad,Color_Field_Painting,ron-gorchov_promenade-1985,something else,Burmese
I love the way the,Naive_Art_Primitivism,niko-pirosmani_rich-merchant,excitement,Burmese
The lady on the picture,Northern_Renaissance,albrecht-durer_portrait-of-a-woman,awe,Burmese
A piece of wallpaper,Minimalism,park-seo-bo_ecriture-no-070201-2007,awe,Burmese
"The green background, the",Minimalism,park-seo-bo_ecriture-no-070201-2007,something else,Burmese
The women is looking at,Realism,james-tissot_portrait-of-the-vicomtesse-de-montmorand-1889,excitement,Burmese
 ,Abstract_Expressionism,vasile-dobrian_during-life-man-exhibits-his-lucidity-during-death-oblivion,excitement,Burmese
Look at the woman's face,Impressionism,paul-gauguin_mette-gauguin-in-an-evening-dress-1884,contentment,Burmese
This is not very nice,Color_Field_Painting,sam-francis_untitled-1977,disgust,Burmese
I will have a little,Post_Impressionism,nicolae-tonitza_forester-s-son,awe,Burmese
aunt: this looks,Impressionism,edgar-degas_woman-with-the-oriental-vase-1872,awe,Burmese
"Blackboard, white board",Minimalism,cy-twombly_night-watch,amusement,Burmese
The expression on his face,Expressionism,nikolaos-lytras_portrait-of-the-painter-s-mother,awe,Burmese
تبدو هذه المدينة صغيرة,Impressionism,alfred-sisley_the-moret-bridge-at-sunset-1892,amusement,Burmese
woman,Ukiyo_e,tsukioka-yoshitoshi_cherishing,excitement,Burmese
The young woman is standing in the middle with a sad look on her face,Expressionism,amedeo-modigliani_young-servant-girl,fear,Burmese
The person is in the mood and has a beautiful view on life.,Northern_Renaissance,albrecht-durer_portrait-of-henry-parker-lord-morley,awe,Burmese
Pencil sketch of a man in an elaborate outfit on a desk.,Northern_Renaissance,albrecht-durer_portrait-of-henry-parker-lord-morley,something else,Burmese
Human: <Img>العملاء وهم داخل محل الملابس شارع جميل جدا,Impressionism,antoine-blanchard_rue-tronchet-la-madeleine-1,excitement,Burmese
الدمج بين اللونين الأزرق والأحمر يثير مشاعر البهجة,Post_Impressionism,maurice-utrillo_the-passage-cottin,something else,Burmese
A woman in a long dress carries a green umbrella on a hot summer day,Impressionism,claude-monet_woman-with-a-parasol-facing-right-also-known-as-study-of-a-figure-outdoors-facing-right,contentment,Burmese
The light from the sun makes her hair look very bright and colorful,Impressionism,claude-monet_woman-with-a-parasol-facing-right-also-known-as-study-of-a-figure-outdoors-facing-right,awe,Burmese
منظر جميل فى الغروب بين القوارب فى البحيرة,Romanticism,william-turner_venice-looking-east-from-the-guidecca-sunrise,something else,Burmese
 this is a beautiful and simple portrait of a man.,Northern_Renaissance,rogier-van-der-weyden_portrait-of-pierre-de-beffremont,awe,Burmese
The image of this famous individual is so impressive and beautifully done.,Romanticism,joseph-wright_benjamin-franklin-1782,something else,Burmese
A beautiful woman in a beautiful dress and in a good pose. She looks like,Realism,giovanni-boldini_madame-michelham-1913,something else,Burmese
A beautiful scene of a beautiful beach with a big castle on it with a huge,Impressionism,william-merritt-chase_venice-view-of-the-navy-arsenal,awe,Burmese
"The man has the most tired expression of all, I can't believe how tired he",Expressionism,theo-van-doesburg_burgerman-1910,something else,Burmese
Man in a yellow and red tie with his eyes wide open looking down at something,Expressionism,martiros-saryan_portrait-of-film-director-sergei-eisenstein-1940,fear,Burmese
الرجل بملامحها الواثقه وسخريته من العالم تبدو و كأنهم,Expressionism,martiros-saryan_portrait-of-film-director-sergei-eisenstein-1940,something else,Burmese
The girl has a beautiful blue dress with her hair in a neat bun.,Art_Nouveau_Modern,paul-mathiopoulos_woman-with-pearls,excitement,Burmese
We have been given the task to paint a portrait of a beautiful young woman,Art_Nouveau_Modern,paul-mathiopoulos_woman-with-pearls,excitement,Burmese
Pearl necklace with diamond necklace wrapped around it. The woman looks,Art_Nouveau_Modern,paul-mathiopoulos_woman-with-pearls,something else,Burmese
a,Realism,giovanni-boldini_seine-in-bougival,excitement,Burmese
There is a boat in this pond in the dark and it makes me sad,Realism,giovanni-boldini_seine-in-bougival,sadness,Burmese
a beautiful image of a black and white woman standing next to an old stump,Realism,camille-corot_girl-with-mandolin-1865,awe,Burmese
فإنه يبدو وكأنه كان يوم حار ومشمس جدًا حيث هناك الكثير من الناس يتب,Impressionism,claude-monet_the-pont-neuf,contentment,Burmese
This is an old woman and she is sad that her hair is falling off her,Post_Impressionism,gwen-john_portrait-of-mrs-atkinson,sadness,Burmese
منزل أبيض جميل جدا بجانب بعض السفن المراكب والشعاب البحرية,Impressionism,eugene-boudin_dunkirk-the-inner-port-1889,sadness,Burmese
"a boat docked at the dock and its sail raised, seems as though it",Impressionism,eugene-boudin_dunkirk-the-inner-port-1889,awe,Burmese
الحديقه ممتلئه بالنباتات والظل فى هذه المنطقه,Impressionism,eugene-boudin_dunkirk-the-inner-port-1889,something else,Burmese
a,Impressionism,antoine-blanchard_porte-st-denis,excitement,Burmese
"The figure in the middle has dark, long, hair, with her foref",Post_Impressionism,paul-gauguin_tahitian-woman-with-flower-in-her-hair,sadness,Burmese
الألوان في الصورة جميلة.,Impressionism,antoine-blanchard_porte-st-denis-winter-1,contentment,Burmese
هذا يبدو وكأنه المنزل القديم في قرية قديمة جميلة جدا,Post_Impressionism,istvan-ilosvai-varga_nagyb-nya-1931,something else,Burmese
People crowd the streets and walk down the busy cobbled street,Impressionism,antoine-blanchard_theatre-des-varietes-large-2,excitement,Burmese
This is an expression of pure innocence and wonder in someone that is unconcern,Romanticism,karl-bryullov_head-a-girl(1),amusement,Burmese
The woman has a sad expression on her face and a red and brown hat that,Impressionism,nicolae-tonitza_lady-with-veil-1915,sadness,Burmese
مدينة كبيرة بها الكثير من المنازل و منها الكثير من المبانى ذات الاشكال,Rococo,bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar,contentment,Burmese
"The small, old town looks old, like there has been war here.",Rococo,bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar,awe,Burmese
It's just a little boring.,Expressionism,saul-steinberg_railway-1951,something else,Burmese
The king wearing a huge helmet and the little boy is wearing his clothes with the,Naive_Art_Primitivism,fernando-botero_alof-of-vignancourt-after-caravaggio,contentment,Burmese
The man looks like a king to the little kid that is carrying him.,Naive_Art_Primitivism,fernando-botero_alof-of-vignancourt-after-caravaggio,amusement,Burmese
توجد سيدة شقراء ذات شعر مجعد وتبدو في سعادة.,Post_Impressionism,moise-kisling_not-identified-6,sadness,Burmese
يظهر فيها وجه امرأة جميل بشكل كبير,Post_Impressionism,moise-kisling_not-identified-6,something else,Burmese
Look at the waves! I would be a sailor if I could sail a,Impressionism,claude-monet_the-seine-estuary-at-honfluer,contentment,Burmese
<B>Children and adults relax in a comfortable home while people in a room,Post_Impressionism,bertalan-por_the-family-1909,fear,Burmese
Man of black robe wearing red beard and wig,Baroque,diego-velazquez_portrait-of-a-man-1628,anger,Burmese
It looks like a great festival has started,Pop_Art,hiro-yamagata_normandies-1979,excitement,Burmese
This looks a lot like a festival,Pop_Art,hiro-yamagata_normandies-1979,excitement,Burmese
اللوحه بها مبانيه كبيره بها ثلاث ابراج تشبه العلم الدن,Post_Impressionism,maurice-utrillo_church-sacre-couer,amusement,Burmese
The buildings are so big and the sky is the lightest color. There are,Post_Impressionism,maurice-utrillo_church-sacre-couer,sadness,Burmese
الرجل ذو الشعر الاشعث الشاربه و الشارب الكبير يرتدي قبوه,Expressionism,pablo-picasso_portrait-of-sebastia-junyer-vidal,amusement,Burmese
S**ty girl sitting on a sofa having sex,Naive_Art_Primitivism,miriam-schapiro_sonia-delaunay-1992,excitement,Burmese
Woman at table wearing blue jacket and long skirt,Impressionism,guy-rose_five-o-clock-1910,awe,Burmese
هذا البيت الكبير العريق الذي لم تغيره الا قلة الناس,Romanticism,cornelis-springer_westermarket-in-amsterdam,sadness,Burmese
تظهر صوره حياه المشاه في القره كامله,Romanticism,cornelis-springer_westermarket-in-amsterdam,contentment,Burmese
The person is giving a kiss to another person and holding them very tight,Expressionism,jules-perahim_the-partisan-1959,sadness,Burmese
A man is shown holding a woman down while she looks up into his eyes.,Expressionism,jules-perahim_the-partisan-1959,something else,Burmese
The dark color of the portrait and man looks very real to me.,Realism,ivan-kramskoy_portrait-artist-and-photographer-of-mikhail-borisovich-tulinova-1868,contentment,Burmese
"a man, wearing a black, orange and white top and a black trouser",Expressionism,zinaida-serebriakova_water-carrier-morocco-1928,fear,Burmese
الرسام الذي رسم الرجل كان يحاول أن يمزج بين الرسم الحزين والر,Impressionism,medi-wechsler-dinu_portrait-of-mamut,sadness,Burmese
الرجل يجلس على مقعده بهدوء ينظر في ماضي بعيد,Impressionism,medi-wechsler-dinu_portrait-of-mamut,something else,Burmese
"One thing that strikes me in this painting is the number of people, it seems",Cubism,fernand-leger_acrobats-in-gray-1944,excitement,Burmese
